Wall time,Step,Value
1741564811.9852185,52,-44.41836929321289
1741564813.8294168,53,-115.53874206542969
1741564816.4601595,54,-137.26202392578125
1741564819.7625396,55,-158.3660430908203
1741564821.566243,56,-116.2012939453125
1741564823.0782447,57,-73.81784057617188
1741564825.4334111,58,-88.1120376586914
1741564827.8639424,59,-143.03387451171875
1741564829.3743854,60,-58.371925354003906
1741564831.6734793,61,-235.00379943847656
1741564833.5684223,62,-74.65046691894531
1741564837.0082037,63,-133.17556762695312
1741564839.6983042,64,-114.90702819824219
1741564842.9342906,65,-72.62215423583984
1741564844.328767,66,-46.31736373901367
1741564846.9705725,67,-114.29918670654297
1741564848.638985,68,-66.98580169677734
1741564850.5053186,69,-114.37035369873047
1741564853.1914618,70,-134.8097381591797
1741564855.1790755,71,-89.9420166015625
1741564858.082154,72,-87.13919830322266
1741564861.5822525,73,-48.4030647277832
1741564864.063814,74,-175.1539764404297
1741564867.9354281,75,-86.77938079833984
1741564869.8911712,76,-114.4448013305664
1741564872.7451208,77,-80.15177917480469
1741564875.193482,78,-79.06327056884766
1741564877.6920815,79,-81.14572143554688
1741564880.541092,80,-66.77268981933594
1741564882.492025,81,-33.9437370300293
1741564885.2719307,82,-87.75777435302734
1741564887.0794897,83,-26.155405044555664
1741564889.4670405,84,-127.65235137939453
1741564891.3051844,85,-70.94470977783203
1741564893.2144883,86,-42.852596282958984
1741564895.0226352,87,-32.972225189208984
1741564896.6401646,88,-23.263046264648438
1741564899.672072,89,-91.01046752929688
1741564902.6071374,90,-45.205718994140625
1741564904.5680146,91,-51.24657440185547
1741564907.1623452,92,-36.674041748046875
1741564909.6002445,93,-16.650344848632812
1741564912.60975,94,-0.7100724577903748
1741564916.3182533,95,-50.75068283081055
1741564918.5252118,96,-61.488006591796875
1741564921.1978998,97,-6.853447914123535
1741564923.6993675,98,-32.840110778808594
1741564926.1352565,99,-119.98863983154297
1741564928.5861561,100,-32.69019317626953
1741564931.5372603,101,-54.56116485595703
1741564933.9332044,102,-67.07230377197266
1741564936.750358,103,-45.820865631103516
1741564939.3652368,104,25.925249099731445
1741564942.820434,105,-0.9911181926727295
1741564945.3815396,106,-64.22368621826172
1741564947.7104266,107,-49.05848693847656
1741564950.1160603,108,-59.79988479614258
1741564953.4682765,109,-22.052528381347656
1741564961.8195353,110,-44.8376350402832
1741564964.6183774,111,-53.94746017456055
1741564966.256133,112,-21.153661727905273
1741564968.432182,113,-102.47537994384766
1741564971.453437,114,-80.37641906738281
1741564976.4394963,115,-147.7073974609375
1741564979.7900522,116,11.729588508605957
1741564982.8880453,117,8.152801513671875
1741564985.537272,118,-51.770729064941406
1741564988.3437839,119,7.814065933227539
1741564990.3162901,120,-55.523681640625
1741564992.5110393,121,36.19188690185547
1741564995.1572306,122,-48.41756820678711
1741564997.3675723,123,31.406368255615234
1741564999.0831785,124,-81.06513977050781
1741565001.1150756,125,-13.696372985839844
1741565003.448665,126,-16.588712692260742
1741565005.8500845,127,-53.27222442626953
1741565009.1492486,128,-2.1514031887054443
1741565011.289377,129,-25.67282485961914
1741565013.5250537,130,34.90034103393555
1741565016.5602484,131,-37.127037048339844
1741565037.1086195,132,-5.367033004760742
1741565039.3272593,133,-37.8768196105957
1741565041.9011037,134,12.853702545166016
1741565044.4902127,135,2.996020793914795
1741565047.575044,136,-103.40161895751953
1741565050.0471644,137,-9.22085952758789
1741565052.2210393,138,-58.192832946777344
1741565054.6891348,139,-31.786691665649414
1741565057.1062906,140,4.629578113555908
1741565059.0114899,141,-11.535890579223633
1741565061.7281058,142,-24.30223274230957
1741565064.6288383,143,-214.08973693847656
1741565067.2491047,144,-203.5460205078125
1741565069.5033007,145,-62.77050018310547
1741565072.2172723,146,-2.225093364715576
1741565092.7329087,147,-4.051811695098877
1741565096.1655455,148,-186.75621032714844
1741565098.9671357,149,-20.848655700683594
1741565101.0290053,150,-11.229520797729492
1741565103.2941737,151,-24.19184112548828
1741565123.7652938,152,17.93486213684082
1741565126.0610175,153,-32.43905258178711
1741565128.7658281,154,-35.94269943237305
1741565130.3979788,155,-13.904084205627441
1741565150.888461,156,-41.807212829589844
1741565152.970182,157,-19.883649826049805
1741565173.44802,158,24.765575408935547
1741565175.6270075,159,19.935230255126953
1741565197.8478503,160,1.8890306949615479
1741565200.2890048,161,-66.1208267211914
1741565220.795525,162,-5.288151741027832
1741565241.2844522,163,-43.97647476196289
1741565261.7547894,164,27.457983016967773
1741565265.0039208,165,-0.9749255776405334
1741565285.4931235,166,33.061004638671875
1741565305.9643435,167,34.26325607299805
1741565326.456995,168,15.617734909057617
1741565328.991396,169,14.008193016052246
1741565349.4460337,170,37.14108657836914
1741565369.953466,171,0.4074983298778534
1741565390.4568222,172,74.62456512451172
1741565402.62261,173,-194.7965850830078
1741565404.6641524,174,-24.497406005859375
1741565408.5423527,175,18.678382873535156
1741565429.049174,176,84.34754180908203
1741565431.9503298,177,-45.699729919433594
1741565437.8618386,178,-338.25189208984375
1741565440.484598,179,-37.26826858520508
1741565443.102657,180,-96.7574691772461
1741565449.5879223,181,-399.1502380371094
1741565452.405626,182,-13.44257926940918
1741565472.8838902,183,73.8495864868164
1741565493.3534622,184,37.816097259521484
1741565513.859409,185,96.71424102783203
